1820-30	151824	106487	36	11951	17	33333
1831-40	599125	495681	53	33424	54	69911
1841-50	1713251	1597442	141	62469	55	53144
1851-60	2598214	2452577	41538	74720	210	29169
1861-70	2314824	2065141	64759	166607	312	18005
1871-80	2812191	2271925	124160	404044	358	11704
1881-90	5246613	4735484	69942	426967	857	13363
1891-00	3687564	3555352	74862	38972	350	18028
1901-10	8795386	8056040	323543	361888	7368	46547
1911-20	5735811	4321887	247236	1143671	8443	14574
1921-30	4107209	2463194	112059	1516716	6286	8954
1931-40	528431	347566	16595	160037	1750	2483
1941-50	1035039	621147	37028	354804	7367	14693
1951-60	2515479	1325727	153249	996944	14092	25467
1961-70	3321677	1123492	427642	1716374	28954	25215
1971-80	4493314	800368	1588178	1982735	80779	41254
1981-90	7338062	761550	2738157	3615225	176893	46237
1991-00	9095417	1359737	2795672	4486806	354939	98263
2001-06	7009322	1073726	2265696	3037122	446792	185986
